son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO43700,2021-07-01,20160701,336,14501,4,2021-07-08,1,7,17.4775,Southwest7
SO43699,2021-07-01,20160701,346,25863,1,2021-07-08,1,8,84.9998,Northwest7
SO43698,2021-07-01,20160701,346,28389,7,2021-07-08,1,6,84.9998,France7
SO43697,2021-07-01,20160701,310,21768,6,2021-07-08,1,6,89.4568,Canada7
SO43701,2021-07-01,20160701,346,11003,9,2021-07-08,1,4,84.9998,Australia7
SO43702,2021-07-02,20160702,311,27645,4,2021-07-09,1,2,89.4568,Southwest7
SO43705,2021-07-02,20160702,344,11011,9,2021-07-09,1,1,84.9998,Australia7
SO43704,2021-07-02,20160702,351,11005,9,2021-07-09,1,1,84.3748,Australia7
SO43703,2021-07-02,20160702,310,16624,9,2021-07-09,1,4,89.4568,Australia7
SO43706,2021-07-03,20160703,312,27621,4,2021-07-10,1,6,89.4568,Southwest7
SO43707,2021-07-03,20160703,312,27616,4,2021-07-10,1,8,89.4568,Southwest7
SO43708,2021-07-03,20160703,330,20042,10,2021-07-10,1,3,17.4775,United Kingdom7
SO43710,2021-07-03,20160703,314,16517,9,2021-07-10,1,3,89.4568,Australia7
SO43709,2021-07-03,20160703,313,16351,9,2021-07-10,1,1,89.4568,Australia7
SO43712,2021-07-04,20160704,311,13513,8,2021-07-11,1,6,89.4568,Germany7
SO43711,2021-07-04,20160704,314,27606,1,2021-07-11,1,1,89.4568,Northwest7
SO43713,2021-07-05,20160705,310,27601,4,2021-07-12,1,5,89.4568,Southwest7
SO43714,2021-07-05,20160705,311,13591,10,2021-07-12,1,6,89.4568,United Kingdom7
SO43717,2021-07-05,20160705,336,25249,9,2021-07-12,1,5,17.4775,Australia7
SO43715,2021-07-05,20160705,314,16483,9,2021-07-12,1,7,89.4568,Australia7
SO43716,2021-07-05,20160705,311,16529,9,2021-07-12,1,5,89.4568,Australia7
SO43719,2021-07-06,20160706,312,27612,4,2021-07-13,1,5,89.4568,Southwest7
SO43718,2021-07-06,20160706,311,27668,1,2021-07-13,1,1,89.4568,Northwest7
SO43720,2021-07-06,20160706,311,13264,8,2021-07-13,1,7,89.4568,Germany7
SO43721,2021-07-06,20160706,310,13590,10,2021-07-13,1,5,89.4568,United Kingdom7
SO43723,2021-07-07,20160707,332,14520,1,2021-07-14,1,4,17.4775,Northwest7
SO43722,2021-07-07,20160707,312,13581,10,2021-07-14,1,8,89.4568,United Kingdom7
SO43724,2021-07-07,20160707,311,16520,9,2021-07-14,1,2,89.4568,Australia7
SO43727,2021-07-08,20160708,311,16607,9,2021-07-15,1,5,89.4568,Australia7
SO43726,2021-07-08,20160708,332,14560,4,2021-07-15,1,4,17.4775,Southwest7
SO43725,2021-07-08,20160708,311,13258,8,2021-07-15,1,4,89.4568,Germany7
SO43728,2021-07-09,20160709,313,27666,4,2021-07-16,1,2,89.4568,Southwest7
SO43730,2021-07-09,20160709,346,25861,4,2021-07-16,1,5,84.9998,Southwest7
SO43733,2021-07-09,20160709,312,27577,1,2021-07-16,1,5,89.4568,Northwest7
SO43729,2021-07-09,20160709,346,11238,10,2021-07-16,1,2,84.9998,United Kingdom7
SO43732,2021-07-09,20160709,350,11025,9,2021-07-16,1,7,84.3748,Australia7
SO43731,2021-07-09,20160709,314,16629,9,2021-07-16,1,2,89.4568,Australia7
SO43734,2021-07-10,20160710,312,27604,1,2021-07-17,1,4,89.4568,Northwest7
SO43736,2021-07-10,20160710,346,11002,9,2021-07-17,1,1,84.9998,Australia7
SO43735,2021-07-10,20160710,310,16522,9,2021-07-17,1,8,89.4568,Australia7
SO43740,2021-07-11,20160711,312,16527,9,2021-07-18,1,1,89.4568,Australia7
SO43739,2021-07-11,20160711,310,13563,10,2021-07-18,1,4,89.4568,United Kingdom7
SO43738,2021-07-11,20160711,312,11606,7,2021-07-18,1,6,89.4568,France7
SO43737,2021-07-11,20160711,311,13261,8,2021-07-18,1,3,89.4568,Germany7
SO43741,2021-07-12,20160712,310,27671,1,2021-07-19,1,4,89.4568,Northwest7
