son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO69590,2024-05-01,20190501,530,13920,6,2024-05-08,2,5,0.1248,Canada5
SO69599,2024-05-01,20190501,225,12140,6,2024-05-08,3,2,0.2248,Canada5
SO69597,2024-05-01,20190501,487,12959,6,2024-05-08,3,7,1.3748,Canada5
SO69589,2024-05-01,20190501,480,11211,6,2024-05-08,2,5,0.0573,Canada5
SO69599,2024-05-01,20190501,478,12140,6,2024-05-08,2,6,0.2498,Canada5
SO69640,2024-05-01,20190501,479,28072,6,2024-05-08,2,8,0.2248,Canada5
SO69588,2024-05-01,20190501,541,12984,6,2024-05-08,2,3,0.7248,Canada5
SO69587,2024-05-01,20190501,222,11176,6,2024-05-08,2,7,0.8748,Canada5
SO69597,2024-05-01,20190501,477,12959,6,2024-05-08,2,2,0.1248,Canada5
SO69649,2024-05-01,20190501,605,12305,10,2024-05-08,1,6,13.4998,United Kingdom5
SO69603,2024-05-01,20190501,487,21450,6,2024-05-08,2,7,1.3748,Canada5
SO69590,2024-05-01,20190501,214,13920,6,2024-05-08,3,8,0.8748,Canada5
SO69603,2024-05-01,20190501,528,21450,6,2024-05-08,1,3,0.1248,Canada5
SO69589,2024-05-01,20190501,538,11211,6,2024-05-08,1,8,0.5373,Canada5
SO69590,2024-05-01,20190501,541,13920,6,2024-05-08,1,2,0.7248,Canada5
SO69635,2024-05-01,20190501,585,16810,6,2024-05-08,1,2,18.5588,Canada5
SO69640,2024-05-01,20190501,606,28072,6,2024-05-08,1,4,13.4998,Canada5
SO69595,2024-05-01,20190501,536,11712,6,2024-05-08,1,4,0.7498,Canada5
SO69597,2024-05-01,20190501,478,12959,6,2024-05-08,1,3,0.2498,Canada5
SO69599,2024-05-01,20190501,477,12140,6,2024-05-08,1,8,0.1248,Canada5
SO69587,2024-05-01,20190501,530,11176,6,2024-05-08,1,5,0.1248,Canada5
SO69588,2024-05-01,20190501,530,12984,6,2024-05-08,1,2,0.1248,Canada5
SO69611,2024-05-01,20190501,541,13539,10,2024-05-08,1,7,0.7248,United Kingdom5
