son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO71988,2024-06-01,20190601,582,18089,6,2024-06-08,1,6,42.5248,Canada6
SO71965,2024-06-01,20190601,538,11330,6,2024-06-08,2,2,0.5373,Canada6
SO71969,2024-06-01,20190601,474,12892,6,2024-06-08,2,5,1.7498,Canada6
SO71973,2024-06-01,20190601,478,20519,6,2024-06-08,2,8,0.2498,Canada6
SO71974,2024-06-01,20190601,480,20084,6,2024-06-08,2,4,0.0573,Canada6
SO71965,2024-06-01,20190601,467,11330,6,2024-06-08,4,2,0.6123,Canada6
SO71965,2024-06-01,20190601,214,11330,6,2024-06-08,3,8,0.8748,Canada6
SO71973,2024-06-01,20190601,214,20519,6,2024-06-08,4,2,0.8748,Canada6
SO71963,2024-06-01,20190601,228,11019,6,2024-06-08,1,2,1.2498,Canada6
SO71969,2024-06-01,20190601,225,12892,6,2024-06-08,1,5,0.2248,Canada6
SO71990,2024-06-01,20190601,580,18118,6,2024-06-08,1,5,42.5248,Canada6
SO71973,2024-06-01,20190601,477,20519,6,2024-06-08,3,1,0.1248,Canada6
SO71963,2024-06-01,20190601,463,11019,6,2024-06-08,2,5,0.6123,Canada6
SO71958,2024-06-01,20190601,484,26205,10,2024-06-08,2,8,0.1988,United Kingdom6
SO71971,2024-06-01,20190601,225,23681,6,2024-06-08,2,2,0.2248,Canada6
SO71988,2024-06-01,20190601,217,18089,6,2024-06-08,2,3,0.8748,Canada6
SO71994,2024-06-01,20190601,605,28530,10,2024-06-08,1,6,13.4998,United Kingdom6
SO71975,2024-06-01,20190601,541,14787,10,2024-06-08,1,5,0.7248,United Kingdom6
SO71958,2024-06-01,20190601,376,26205,10,2024-06-08,1,8,61.0838,United Kingdom6
SO71960,2024-06-01,20190601,361,15083,10,2024-06-08,1,5,57.3748,United Kingdom6
SO71975,2024-06-01,20190601,530,14787,10,2024-06-08,2,7,0.1248,United Kingdom6
SO71994,2024-06-01,20190601,479,28530,10,2024-06-08,2,8,0.2248,United Kingdom6
SO71960,2024-06-01,20190601,478,15083,10,2024-06-08,2,8,0.2498,United Kingdom6
SO71994,2024-06-01,20190601,477,28530,10,2024-06-08,3,2,0.1248,United Kingdom6
SO71960,2024-06-01,20190601,477,15083,10,2024-06-08,3,3,0.1248,United Kingdom6
SO71965,2024-06-01,20190601,529,11330,6,2024-06-08,1,4,0.0998,Canada6
SO71975,2024-06-01,20190601,222,14787,10,2024-06-08,3,5,0.8748,United Kingdom6
SO71990,2024-06-01,20190601,231,18118,6,2024-06-08,2,7,1.2498,Canada6
SO71974,2024-06-01,20190601,485,20084,6,2024-06-08,1,5,0.5495,Canada6
SO72000,2024-06-01,20190601,561,13636,9,2024-06-08,1,6,59.6018,Australia6
SO71971,2024-06-01,20190601,477,23681,6,2024-06-08,1,8,0.1248,Canada6
SO71994,2024-06-01,20190601,222,28530,10,2024-06-08,4,7,0.8748,United Kingdom6
SO71964,2024-06-01,20190601,480,28104,4,2024-06-08,2,1,0.0573,Southwest6
SO71999,2024-06-01,20190601,480,27485,9,2024-06-08,3,3,0.0573,Australia6
SO71961,2024-06-01,20190601,363,12863,8,2024-06-08,1,8,57.3748,Germany6
SO71982,2024-06-01,20190601,353,18527,1,2024-06-08,1,6,57.9998,Northwest6
SO71956,2024-06-01,20190601,477,29100,9,2024-06-08,1,5,0.1248,Australia6
SO71999,2024-06-01,20190601,584,27485,9,2024-06-08,1,8,13.4998,Australia6
SO71984,2024-06-01,20190601,584,29346,9,2024-06-08,1,3,13.4998,Australia6
SO71955,2024-06-01,20190601,535,14054,9,2024-06-08,1,1,0.6248,Australia6
SO71985,2024-06-01,20190601,357,16169,9,2024-06-08,1,3,57.9998,Australia6
SO71957,2024-06-01,20190601,225,11149,9,2024-06-08,1,5,0.2248,Australia6
SO71998,2024-06-01,20190601,568,15134,9,2024-06-08,1,6,18.5588,Australia6
SO71997,2024-06-01,20190601,571,11929,9,2024-06-08,1,3,18.5588,Australia6
SO71956,2024-06-01,20190601,488,29100,9,2024-06-08,4,3,1.3498,Australia6
