son,orderdate,orderdatekey,pk,ck,stk,dateofshipping,soln,oquantity,freight,region
SO74164,2024-07-01,20190701,540,14274,6,2024-07-08,1,7,0.815,Canada7
SO74161,2024-07-01,20190701,484,11502,6,2024-07-08,3,4,0.1988,Canada7
SO74169,2024-07-01,20190701,476,18356,6,2024-07-08,1,5,1.7498,Canada7
SO74161,2024-07-01,20190701,538,11502,6,2024-07-08,1,8,0.5373,Canada7
SO74166,2024-07-01,20190701,217,16721,6,2024-07-08,3,6,0.8748,Canada7
SO74184,2024-07-01,20190701,222,15536,6,2024-07-08,3,7,0.8748,Canada7
SO74182,2024-07-01,20190701,484,11640,6,2024-07-08,3,3,0.1988,Canada7
SO74182,2024-07-01,20190701,480,11640,6,2024-07-08,2,6,0.0573,Canada7
SO74166,2024-07-01,20190701,477,16721,6,2024-07-08,2,7,0.1248,Canada7
SO74149,2024-07-01,20190701,539,17304,9,2024-07-08,1,4,0.6248,Australia7
SO74172,2024-07-01,20190701,234,19200,6,2024-07-08,2,8,1.2498,Canada7
SO74169,2024-07-01,20190701,228,18356,6,2024-07-08,2,5,1.2498,Canada7
SO74184,2024-07-01,20190701,528,15536,6,2024-07-08,2,7,0.1248,Canada7
SO74177,2024-07-01,20190701,477,14958,10,2024-07-08,1,4,0.1248,United Kingdom7
SO74182,2024-07-01,20190701,537,11640,6,2024-07-08,1,5,0.875,Canada7
SO74175,2024-07-01,20190701,485,16191,10,2024-07-08,1,1,0.5495,United Kingdom7
SO74164,2024-07-01,20190701,529,14274,6,2024-07-08,2,8,0.0998,Canada7
SO74183,2024-07-01,20190701,537,12959,6,2024-07-08,1,4,0.875,Canada7
SO74155,2024-07-01,20190701,225,11051,9,2024-07-08,1,3,0.2248,Australia7
SO74166,2024-07-01,20190701,478,16721,6,2024-07-08,1,3,0.2498,Canada7
SO74177,2024-07-01,20190701,465,14958,10,2024-07-08,2,2,0.6123,United Kingdom7
SO74150,2024-07-01,20190701,529,15599,9,2024-07-08,1,4,0.0998,Australia7
SO74151,2024-07-01,20190701,485,17500,9,2024-07-08,1,8,0.5495,Australia7
SO74152,2024-07-01,20190701,538,18444,9,2024-07-08,1,6,0.5373,Australia7
SO74153,2024-07-01,20190701,478,29305,9,2024-07-08,1,1,0.2498,Australia7
SO74156,2024-07-01,20190701,480,12666,9,2024-07-08,1,1,0.0573,Australia7
SO74154,2024-07-01,20190701,465,11902,9,2024-07-08,1,1,0.6123,Australia7
SO74151,2024-07-01,20190701,477,17500,9,2024-07-08,3,5,0.1248,Australia7
SO74150,2024-07-01,20190701,480,15599,9,2024-07-08,3,5,0.0573,Australia7
SO74152,2024-07-01,20190701,529,18444,9,2024-07-08,2,6,0.0998,Australia7
SO74149,2024-07-01,20190701,480,17304,9,2024-07-08,2,2,0.0573,Australia7
SO74151,2024-07-01,20190701,478,17500,9,2024-07-08,2,8,0.2498,Australia7
SO74155,2024-07-01,20190701,228,11051,9,2024-07-08,2,5,1.2498,Australia7
SO74150,2024-07-01,20190701,539,15599,9,2024-07-08,2,5,0.6248,Australia7
SO74153,2024-07-01,20190701,477,29305,9,2024-07-08,2,4,0.1248,Australia7
SO74170,2024-07-01,20190701,477,25367,6,2024-07-08,1,4,0.1248,Canada7
SO74172,2024-07-01,20190701,485,19200,6,2024-07-08,1,4,0.5495,Canada7
SO74184,2024-07-01,20190701,537,15536,6,2024-07-08,1,4,0.875,Canada7
SO74173,2024-07-01,20190701,528,14689,7,2024-07-08,1,3,0.1248,France7
SO74161,2024-07-01,20190701,529,11502,6,2024-07-08,2,3,0.0998,Canada7
SO74181,2024-07-01,20190701,538,25807,7,2024-07-08,1,4,0.5373,France7
SO74159,2024-07-01,20190701,480,27532,1,2024-07-08,2,2,0.0573,Northwest7
SO74168,2024-07-01,20190701,488,19885,1,2024-07-08,2,4,1.3498,Northwest7
SO74167,2024-07-01,20190701,488,21696,1,2024-07-08,3,8,1.3498,Northwest7
SO74163,2024-07-01,20190701,473,26528,1,2024-07-08,3,3,1.5875,Northwest7
SO74158,2024-07-01,20190701,228,11170,1,2024-07-08,3,3,1.2498,Northwest7
SO74163,2024-07-01,20190701,217,26528,1,2024-07-08,4,4,0.8748,Northwest7
SO74162,2024-07-01,20190701,540,25330,4,2024-07-08,3,7,0.815,Southwest7
SO74158,2024-07-01,20190701,214,11170,1,2024-07-08,2,3,0.8748,Northwest7
SO74165,2024-07-01,20190701,237,24517,4,2024-07-08,3,7,1.2498,Southwest7
SO74162,2024-07-01,20190701,471,25330,4,2024-07-08,2,7,1.5875,Southwest7
SO74165,2024-07-01,20190701,540,24517,4,2024-07-08,2,5,0.815,Southwest7
SO74165,2024-07-01,20190701,529,24517,4,2024-07-08,1,7,0.0998,Southwest7
SO74162,2024-07-01,20190701,529,25330,4,2024-07-08,1,5,0.0998,Southwest7
SO74160,2024-07-01,20190701,538,28238,4,2024-07-08,1,5,0.5373,Southwest7
SO74171,2024-07-01,20190701,528,15495,4,2024-07-08,1,5,0.1248,Southwest7
SO74180,2024-07-01,20190701,530,24124,7,2024-07-08,1,8,0.1248,France7
SO74171,2024-07-01,20190701,214,15495,4,2024-07-08,2,4,0.8748,Southwest7
SO74167,2024-07-01,20190701,477,21696,1,2024-07-08,2,8,0.1248,Northwest7
SO74158,2024-07-01,20190701,225,11170,1,2024-07-08,4,6,0.2248,Northwest7
SO74168,2024-07-01,20190701,475,19885,1,2024-07-08,1,3,1.7498,Northwest7
SO74163,2024-07-01,20190701,528,26528,1,2024-07-08,2,5,0.1248,Northwest7
SO74180,2024-07-01,20190701,487,24124,7,2024-07-08,2,7,1.3748,France7
SO74181,2024-07-01,20190701,529,25807,7,2024-07-08,2,7,0.0998,France7
